location,price,area,bedroom
4 BHK Residential Apartment in Sector-109 Gurgaon,"₹ 1.9 Cr₹ 7,224/sq.ft.","2,630 sq.ft. (244 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-62 Gurgaon,"₹ 2.8  - 2.8 Cr₹ 10,815/sq.ft.","2,588 sq.ft. (240 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector-62 Gurgaon,"₹ 1.7 Cr₹ 11,271/sq.ft.","1,508 sq.ft. (140 sq.m.) Super built-up Area",2 BHK2 Baths
5 BHK Residential Apartment in Sector-50 Gurgaon,"₹ 9  - 9 Cr₹ 10,000/sq.ft.","9,000-12,000 sq.ft. (836-1115 sq.m.) Super built-up Area",5 BHK
2 BHK Residential Apartment in Moti Nagar,"₹ 1.5  - 2.05 Cr₹ 14,423/sq.ft.","1,040-1,418 sq.ft. (97-132 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Moti Nagar,"₹ 2.49  - 3.5 Cr₹ 10,000/sq.ft.","2,494-3,500 sq.ft. (232-325 sq.m.) Super built-up Area",4 BHK
4 BHK Independent Builder Floor in Sector-63 Gurgaon,"₹ 2.7 Cr₹ 9,818/sq.ft.","2,750 sq.ft. (255 sq.m.) Super built-up Area",4 BHK5 Baths
5 BHK Residential Apartment in Sector Chi 5 Gr Noida,"₹ 2  - 2.53 Cr₹ 4,928/sq.ft.","4,060-5,130 sq.ft. (377-477 sq.m.) Super built-up Area",5 BHK5 Baths
3 BHK Residential Apartment in Sector Chi 5 Gr Noida,"₹ 83.49  - 95.45 Lac₹ 4,600/sq.ft.","1,815-2,075 sq.ft. (169-193 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector Chi 5 Gr Noida,"₹ 1.15  - 1.48 Cr₹ 4,600/sq.ft.","2,505-3,210 sq.ft. (233-298 sq.m.) Super built-up Area",4 BHK
3 BHK Independent Builder Floor in Sector-63 Gurgaon,"₹ 1.73  - 1.93 Cr₹ 9,532/sq.ft.","1,800-2,050 sq.ft. (167-190 sq.m.) Super built-up Area",3 BHK3 Baths
4 Bedroom Independent House in Sector-27 Greater Noida,"₹ 1.75  - 3.14 Cr₹ 5,789/sq.ft.","3,023-5,427 sq.ft. (281-504 sq.m.) Built-up Area",4 BHK
4 BHK Residential Apartment in Sector-144 Noida,"₹ 4.23  - 4.23 Cr₹ 15,201/sq.ft.","2,782-2,784 sq.ft. (258-259 sq.m.) Carpet Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 76 Lac₹ 4,000/sq.ft.","1,900 sq.ft. (177 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-4 Gr Noida,"₹ 69.51 Lac₹ 4,150/sq.ft.","1,675 sq.ft. (156 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector Chi 5 Gr Noida,"₹ 79.35  - 90.62 Lac₹ 4,600/sq.ft.","1,725-1,970 sq.ft. (160-183 sq.m.) Super built-up Area",3 BHK
4 Bedroom Independent House in Sector-150 Noida,"₹ 6.25  - 16.36 Cr₹ 19,841/sq.ft.","3,150-8,245 sq.ft. (293-766 sq.m.) Built-up Area",4 BHK
4 BHK Residential Apartment in Suraj Kund,"₹ 2.46 Cr₹ 7,473/sq.ft.","3,295 sq.ft. (306 sq.m.) Super built-up Area",4 BHK
3 BHK Residential Apartment in Suraj Kund,"₹ 1.7  - 2.01 Cr₹ 7,473/sq.ft.","2,275-2,685 sq.ft. (211-249 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-150 Noida,"₹ 64.4  - 77.05 Lac₹ 4,600/sq.ft.","1,400-1,675 sq.ft. (130-156 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-69 Gurgaon,"₹ 1.48 Cr₹ 8,167/sq.ft.","1,812 sq.ft. (168 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-99 Gurgaon,"₹ 1.56 Cr₹ 5,500/sq.ft.","2,835 sq.ft. (263 sq.m.) Super built-up Area",4 BHK5 Baths
5 BHK Residential Apartment in Sector-102 Gurgaon,"₹ 3.5 Cr₹ 6,007/sq.ft.","5,826 sq.ft. (541 sq.m.) Super built-up Area",5 BHK5 Baths
3 BHK Residential Apartment in Sector-99 Gurgaon,"₹ 92.68 Lac - 1.32 Cr₹ 5,500/sq.ft.","1,685-2,400 sq.ft. (157-223 sq.m.) Super built-up Area",3 BHK
2 BHK Residential Apartment in Sector-99 Gurgaon,"₹ 75.07 Lac₹ 5,500/sq.ft.","1,365 sq.ft. (127 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector-99 Gurgaon,"₹ 75.07 Lac₹ 5,500/sq.ft.","1,365 sq.ft. (127 sq.m.) Super built-up Area",2 BHK2 Baths
